YBL002W	YPL001W
YDR378C	YJR022W
YBR285W	YHR079C
YFL026W	YJR066W
YHL018W	YPL070W
YGR074W	YNL092W
YFL036W	YLR259C
YER126C	YPL093W
YGL026C	YOR117W
YHR200W	YLL039C
YBR173C	YPL031C
YMR109W	YOR181W
YDL028C	YIL144W
YDL095W	YFR004W
YBL032W	YPL002C
YAL013W	YPL139C
YFR017C	YPL203W
YLR396C	YMR197C
YDR195W	YLR115W
YER082C	YJR002W
YCL024W	YPL093W
YBL032W	YOR267C
YBR235W	YNR047W
YBL045C	YIL061C
YLR019W	YLR310C
YJR040W	YPL240C
YHR064C	YJR145C
YAR027W	YHR048W
YNL154C	YPR091C
YDL159W	YGR287C
YDL030W	YDR421W
YBL002W	YNL030W
YBR154C	YLR223C
YCL035C	YLL039C
YJL092W	YNL186W
YBL032W	YKL025C
YGL120C	YGR130C
YDR308C	YGL025C
YDR039C	YLL039C
YML010W	YPR169W
YER167W	YER177W
YDL214C	YMR165C
YDR482C	YKL095W
YGL103W	YPL012W
YKL049C	YPR091C
YLR085C	YLR259C
YBL101C	YER177W
YHR016C	YMR109W
YDR224C	YHL007C
YML051W	YPL047W
YCL043C	YJR076C
YDR510W	YKR025W
YER155C	YOL087C
YDL120W	YLL041C
YBL032W	YDR534C
YJR145C	YPR144C
YJL020C	YPL031C
YDL132W	YLR134W
YBL032W	YHR205W
YBL032W	YKL112W
YDL100C	YNR067C
YLR015W	YPL138C
YBR198C	YDR176W
YBR263W	YFR031C-A
YDR027C	YOR036W
YGR142W	YJR127C
YOR151C	YPL137C
YGL030W	YPL093W
YEL037C	YER021W
YBL032W	YDL020C
YHR027C	YOR117W
YIL107C	YLL039C
YGL059W	YNR039C
YLL050C	YLR319C
YGR294W	YPL240C
YBL039C	YGL081W
YJL092W	YLR384C
YAL051W	YPL146C
YKL152C	YLL039C
YCR093W	YDR378C
YLR320W	YLR432W
YDR028C	YER129W
YBR283C	YPL234C
YDR308C	YPR070W
YKR036C	YLL001W
YFR052W	YLR421C
YJR074W	YOR185C
YGL189C	YML065W
YHR030C	YNL167C
YDL075W	YPL012W
YKL081W	YNL041C
YDR074W	YHR082C
YNL110C	YNL132W
YDL111C	YHR010W
YFR004W	YKL182W
YBL032W	YGR071C
YHR098C	YJR048W
YDL115C	YOR224C
YGR056W	YPR034W
YDR477W	YHR189W
YBR017C	YOR185C
YDL025C	YPL093W
YGL076C	YJR145C
YFR004W	YNL141W
YLR330W	YNL045W
YKL058W	YML015C
YBL002W	YOL006C
YGL076C	YMR290C
YFR024C-A	YOL107W
YLL039C	YPR080W
YCR088W	YDR388W
YDL160C	YPR082C
YLL043W	YMR104C
