YAL024C	YLR388W
YJL014W	YLR259C
YGR162W	YGR285C
YIL109C	YML012W
YGR250C	YPL210C
YDR301W	YER133W
YDL025C	YJL076W
YDR089W	YKL049C
YLL028W	YNL197C
YGR103W	YKL021C
YBL030C	YER182W
YBR106W	YNL321W
YER105C	YLL039C
YBL092W	YOL040C
YGL222C	YNL118C
YER151C	YLR048W
YHR033W	YOR212W
YCR093W	YDR293C
YCR076C	YNL118C
YFR010W	YLR106C
YDR207C	YOR355W
YDL214C	YJL051W
YLL039C	YOR283W
YJL092W	YOL104C
YDR012W	YML065W
YKL049C	YNL055C
YDR244W	YNL329C
YCR030C	YKL049C
YDR538W	YMR304W
YFR017C	YGL059W
YLL039C	YMR054W
YCR030C	YNR047W
YNR022C	YPR119W
YFR021W	YGL179C
YDR383C	YKL049C
YDR174W	YDR335W
YIL079C	YML056C
YDR477W	YKL091C
YJR042W	YKR082W
YJL080C	YOL013C
YDR100W	YGL137W
YGL012W	YMR215W
YLL016W	YLR310C
YDR264C	YOR101W
YAL035W	YIR001C
YJL164C	YNL125C
YDR167W	YLR055C
YLL039C	YNL012W
YER151C	YNL132W
YDR280W	YOR145C
YDR062W	YLR350W
YLR265C	YLR424W
YNL251C	YNL330C
YBR198C	YNL216W
YML096W	YOL016C
YHR101C	YMR200W
YER133W	YMR140W
YLL039C	YNL074C
YBR086C	YHR135C
YGL004C	YOR259C
YHR152W	YLR132C
YGR095C	YOL142W
YHR135C	YNL055C
YER043C	YMR059W
YLL039C	YOR145C
YGR103W	YKL009W
YGR046W	YLR259C
YDR477W	YHL024W
YHR135C	YLR125W
YIL027C	YJL117W
YBR245C	YHR084W
YDR172W	YFL039C
YCR038C	YIL140W
YER133W	YGR103W
YGL011C	YKR070W
YER026C	YNL101W
YKL172W	YML065W
YLR026C	YMR197C
YKR003W	YPR173C
YGL116W	YJL014W
YHR135C	YKL048C
YBL026W	YLR117C
YGR270W	YMR049C
YDR388W	YER127W
YDL013W	YIL061C
YLL008W	YPL141C
YEL009C	YOL148C
YLR011W	YOR028C
YDL007W	YIL075C
YER139C	YOL005C
YDR335W	YOR359W
YDL065C	YMR047C
YDL128W	YNL154C
YDR318W	YLR381W
YBL061C	YMR242C
YCR091W	YNL045W
YER151C	YML056C
YBL102W	YDR264C
YBR177C	YOL045W
YLL040C	YML085C
YJR075W	YLL039C
YGL012W	YLL039C
YPL049C	YPL256C
YNL251C	YPL190C
YDR434W	YLR459W
YDR288W	YLR007W
YJL014W	YKR054C
YDR063W	YFL039C
YLL039C	YML101C
YDR012W	YPL198W
YLR289W	YOL133W
YBR020W	YPL248C
YLL039C	YNL141W
YDL007W	YKL049C
YHR096C	YLL028W
YGL141W	YKL021C
YFL037W	YKL049C
YDR080W	YNL238W
YDR174W	YER095W
YDR016C	YLR117C
YBR055C	YHR135C
YDR100W	YDR189W
YDR496C	YER151C
YMR071C	YOL016C
YGL141W	YJR059W
YKL216W	YNR051C
YCR004C	YMR086W
YHR200W	YJR077C
YKL049C	YKR048C
YBR090C	YHR135C
YGL105W	YHR082C
YHR200W	YKL006W
YNL197C	YOR058C
YDR069C	YMR304W
YBR217W	YHR033W
YIL043C	YLR350W
YEL013W	YFL039C
YCR028C-A	YIL107C
YBR017C	YHR200W
YKL064W	YPL031C
YDR479C	YLR324W
YKL064W	YNL307C
YBR217W	YKL145W
YLL039C	YML097C
YOR054C	YPL031C
YGR130C	YNL020C
YGL087C	YOL081W
YBL016W	YPR086W
YDR510W	YPL129W
YLL039C	YOL133W
YBR112C	YHL002W
YBR017C	YKL009W
YIL126W	YOR290C
YDR174W	YOR172W
YDR190C	YLL039C
YHR006W	YLL039C
YLL039C	YOR161C
YER043C	YHR200W
YER032W	YHR114W
YHR174W	YKL049C
YBL103C	YJR066W
YGR132C	YNL055C
YDR388W	YLR166C
YJL138C	YOL013C
YER179W	YMR224C
YER151C	YLR447C
YGL213C	YGR008C
YBR109C	YKR025W
YEL063C	YJL091C
YGR092W	YGR220C
YGR167W	YLR330W
YMR059W	YNR008W
YER151C	YOR369C
YMR125W	YPR182W
YDL029W	YDR523C
YMR047C	YNL078W
YGL023C	YNL183C
YOL038W	YPR108W
YNL162W	YOL097C
YBL097W	YHL002W
YLL039C	YMR261C
YGL116W	YNL024C
YLR093C	YPL031C
YER039C	YER118C
YDR100W	YFR024C-A
YHR193C	YJR011C
YCR061W	YNL197C
YHR023W	YKL049C
YGL103W	YNR051C
YDR388W	YPL031C
YDL021W	YKL214C
YBR010W	YER142C
YJR125C	YOR111W
YDL164C	YKL113C
YER166W	YOR104W
YBR173C	YLR199C
YGL233W	YJL036W
YKL029C	YOL038W
YLR310C	YNL025C
YGR030C	YIR015W
YEL013W	YOR316C
YGL006W	YJL178C
YBL103C	YBR010W
YDR314C	YHR029C
YNL124W	YPL198W
YFL023W	YNL007C
YGL141W	YLL039C
YBR010W	YER147C
YFR014C	YML048W
YLR026C	YNL049C
YKL028W	YPR052C
YBL016W	YHR005C
YNL074C	YPL256C
YAL025C	YOR267C
YHR200W	YNL302C
YGL011C	YGR253C
YML041C	YOL012C
YDR388W	YIL156W
YML083C	YNL154C
YBL072C	YNR051C
YBR217W	YGR120C
YGR111W	YLL039C
YLR180W	YMR205C
YEL017C-A	YML048W
YDR033W	YNR051C
YFL038C	YOR115C
YLL028W	YNL087W
YDL159W	YDR356W
YFL026W	YJR066W
YDR427W	YGR067C
YHL018W	YPL070W
YGR074W	YNL092W
YJL013C	YJL030W
YDR146C	YER015W
YMR315W	YNL135C
YKL089W	YPR018W
YJL080C	YNR051C
YHR200W	YLL039C
YOL091W	YOR373W
YBR173C	YPL031C
YBR010W	YOR290C
YDR100W	YPL095C
YBR020W	YML088W
YIL094C	YLR048W
YMR010W	YNR028W
YLR396C	YMR197C
YDR296W	YPL049C
YGL179C	YPL133C
YIL048W	YLL039C
YEL063C	YKL065C
YMR165C	YOR351C
YBR235W	YNR047W
YLR019W	YLR310C
YJL014W	YML061C
YLL050C	YNL138W
YML051W	YOR355W
YKL079W	YNL272C
YDR096W	YIR006C
YNL154C	YPR091C
YJL164C	YNR019W
YDL159W	YGR287C
YJR086W	YOR212W
YDL030W	YDR421W
YGL256W	YLR182W
YBR048W	YDR510W
YDR388W	YLR144C
YDR427W	YER021W
YCL035C	YLL039C
YHL004W	YJR060W
YJR122W	YNL295W
YJR091C	YLR156W
YDL214C	YMR165C
YGR238C	YOL069W
YGL103W	YPL012W
YKL049C	YPR091C
YLR085C	YLR259C
YBR098W	YDR386W
YPL248C	YPR086W
YML124C	YNL055C
YDR510W	YKR025W
YGR092W	YMR165C
YER155C	YOL087C
YDL028C	YNL116W
YGR092W	YLL008W
YJR145C	YPR144C
YJL020C	YPL031C
YCR063W	YGL128C
YDR312W	YFR014C
YDR510W	YOR374W
YDR118W	YOR249C
YBR198C	YDR176W
YDR122W	YGR097W
YDR099W	YJL141C
YLR457C	YMR001C
YAL027W	YPR171W
YJR066W	YKL161C
YDR388W	YIL094C
YEL037C	YER021W
YBL075C	YLR026C
YER021W	YGL004C
YIL107C	YLL039C
YMR288W	YPR182W
YDR510W	YOL116W
YGL059W	YNR039C
YER151C	YKL049C
YDL059C	YER062C
YBL087C	YNL110C
YBR112C	YCL067C
YMR012W	YMR059W
YER151C	YPL131W
YDR510W	YHR174W
YBL039C	YGL081W
YJL092W	YLR384C
YER054C	YJL164C
YNL189W	YOR380W
YAL051W	YPL146C
YLR117C	YPR101W
YKR036C	YLL001W
YFR052W	YLR421C
YBR109C	YLR196W
YJR074W	YOR185C
YGL189C	YML065W
YJL164C	YLR173W
YLR440C	YNL258C
YBR108W	YCR009C
YDL007W	YKL145W
YNL110C	YNL132W
YBR102C	YLL039C
YKR071C	YLL039C
YDR381W	YIR001C
YER062C	YKL069W
YER151C	YGL008C
YEL002C	YOL003C
YGR060W	YKL008C
YFR027W	YPL008W
YAL024C	YKR001C
YGL172W	YJL057C
YDL143W	YHR200W
YDR265W	YOL044W
YEL017C-A	YJR117W
YER015W	YLR098C
YBL072C	YDR510W
YJL035C	YLR316C
YEL034W	YOL133W
YDR477W	YHR189W
YBR017C	YOR185C
YGR240C	YML085C
YHL007C	YPL256C
YOR070C	YOR089C
YLR330W	YNL045W
YKL058W	YML015C
YDR388W	YPL140C
YML012W	YPR181C
YFR024C-A	YOL107W
YDR088C	YGR074W
YCR088W	YDR388W
YBR105C	YIL097W
YHR114W	YPR171W
YLL043W	YMR104C
YDL139C	YJL030W
YDR283C	YLL005C
YMR174C	YPL154C
YDR510W	YJL042W
YDL097C	YHR200W
YIL075C	YKL029C
YLR425W	YPL066W
YCR076C	YNL189W
YIR017C	YJR112W
YFR052W	YOR181W
YEL054C	YER151C
YBL050W	YLR268W
YNL197C	YOR052C
YCR009C	YKL203C
YFL023W	YKL081W
YDR381W	YDR398W
YBR245C	YGL133W
YLL039C	YMR280C
YAL024C	YHR174W
YDR225W	YMR125W
YBR272C	YDR363W-A
YMR191W	YOR259C
YHR140W	YJL214W
YDL215C	YLL039C
YBR278W	YCL032W
YFR015C	YIL045W
YFR010W	YHL030W
YGL205W	YLL039C
YBL050W	YLR093C
YAL017W	YCR020W-B
YHR135C	YNL154C
YER162C	YIL063C
YLL039C	YOR163W
YEL009C	YFL024C
YFR029W	YNL197C
YGR097W	YKL116C
YLR109W	YMR138W
YDR032C	YHR001W
YHR200W	YOR176W
YHR134W	YLL039C
YBR072W	YLL039C
YLR438W	YPL150W
YJR005W	YKL135C
YKR048C	YPR086W
YDR310C	YFR024C-A
YCR011C	YNL154C
YDL007W	YGL004C
YBR106W	YMR292W
YDL013W	YJR091C
YDL134C	YPL152W
YJL082W	YMR029C
YNL090W	YOR089C
YER178W	YOR090C
YCR012W	YNR051C
YER151C	YPR181C
YKL215C	YLL026W
YHR014W	YHR185C
YDR265W	YPL031C
YDR127W	YKL145W
YLL039C	YMR275C
YHR152W	YJL138C
YIL149C	YNL135C
YCL009C	YNL157W
YDR206W	YPR129W
YBR048W	YDR130C
YBR086C	YNL194C
YDL115C	YGL179C
YDL227C	YER143W
YLR115W	YPR107C
YMR172W	YOR039W
YBR017C	YOR374W
YDR510W	YER032W
YML024W	YPR144C
YBR106W	YMR215W
YDR388W	YLR355C
YDR427W	YMR191W
YDR162C	YDR277C
YJL183W	YPL094C
YGR031W	YIL107C
YFR010W	YPR108W
YER133W	YLR134W
YEL019C	YHR154W
YFL039C	YNL110C
YJL092W	YLL019C
YDL029W	YMR216C
YKL071W	YPL157W
YFL023W	YHR135C
YDL064W	YJR089W
YCL032W	YCR027C
YEL027W	YLL028W
YGR258C	YPL248C
YDR436W	YOR054C
YDL134C	YDR523C
YDR264C	YKR088C
YGL137W	YLL039C
YER029C	YPR182W
YKL145W	YMR001C
YDL029W	YOR259C
YBL049W	YHL010C
YHR140W	YMR279C
YIL105C	YKL051W
YGL180W	YMR049C
YGR270W	YPL115C
YDR342C	YMR049C
YDR100W	YML110C
YDR028C	YOR267C
YJL057C	YML121W
YKR001C	YLR033W
YBR057C	YHL004W
YBL002W	YDR496C
YKL058W	YOR093C
YGR074W	YLL036C
YBL008W	YJR140C
YIL109C	YJR059W
YLL011W	YNL110C
