YDL207W	YDR159W
YHR135C	YNL055C
YOR198C	YPL255W
YHR135C	YLR125W
YER020W	YNL197C
YPL031C	YPL118W
YJL140W	YPR187W
YDR172W	YFL039C
YCR038C	YIL140W
YML001W	YPR028W
YER026C	YNL101W
YBR031W	YDR496C
YJL101C	YML056C
YDR394W	YOL117W
YCR028C-A	YNL031C
YAL029C	YOR326W
YGL051W	YJL106W
YJL164C	YLR003C
YDR252W	YPL037C
YHR091C	YOL088C
YLL008W	YPL141C
YDL047W	YFR019W
YFL039C	YLR337C
YDR335W	YOR359W
YLR396C	YMR231W
YGR135W	YNL244C
YDR310C	YPR152C
YDR394W	YFR010W
YDR021W	YNL271C
YBL106C	YKL117W
YBL032W	YBR230C
YBR039W	YER036C
YBL045C	YDR388W
YDL168W	YFR004W
YDR130C	YGR159C
YDR288W	YLR007W
YBR159W	YFR004W
YDR063W	YFL039C
YHR027C	YPR108W
YAL038W	YOR160W
YCR012W	YEL031W
YHR096C	YLL028W
YDR365C	YLR340W
YHL002W	YMR109W
YMR229C	YPL012W
YBL032W	YKL129C
YFR011C	YOL006C
YMR071C	YOL016C
YDR064W	YFR004W
YGL141W	YJR059W
YBL032W	YLL010C
YCR004C	YMR086W
YAL013W	YBR095C
YKL049C	YKR048C
YBR090C	YHR135C
YDR495C	YPL045W
YHR200W	YKL006W
YLR016C	YLR086W
YNL197C	YPL204W
YBR283C	YKL065C
YBR126C	YBR265W
YER034W	YHR135C
YDR381W	YKR086W
YJR066W	YMR011W
YJL165C	YMR153W
YEL013W	YFL039C
YEL005C	YLR408C
YCR028C-A	YIL107C
YOR054C	YPL031C
YER012W	YJL130C
YGR130C	YNL020C
YGL087C	YOL081W
YGL181W	YHR161C
YAL038W	YDR510W
YFR004W	YHR200W
YGL055W	YML012W
YCL037C	YGL014W
YBR112C	YHL002W
YER172C	YGR074W
YIL126W	YOR290C
YFR004W	YJL052W
YCL054W	YDL014W
YBL032W	YOR322C
YFR004W	YMR202W
YHR200W	YNL239W
YNR007C	YPL031C
YAL005C	YDR502C
YHR027C	YMR099C
YGR132C	YNL055C
YDL029W	YLR337C
YDR212W	YKL049C
YAL035W	YJR007W
YER050C	YPL118W
YDL058W	YPL106C
YBR169C	YPL012W
YMR125W	YPR182W
YOR285W	YPR183W
YDR229W	YPR152C
YMR004W	YPL204W
YIL004C	YLR093C
YGR009C	YPL232W
YLR093C	YPL031C
YER120W	YFR004W
YDR510W	YOR099W
YER124C	YHR200W
YDR100W	YFR024C-A
YGL003C	YJL106W
YDL060W	YDR381W
YDR129C	YNL138W
YCR061W	YNL197C
YAL011W	YLR385C
YCR106W	YPL034W
YDR388W	YPL031C
YBL023C	YGL201C
YFR024C-A	YJL004C
YFL008W	YOL069W
YDR064W	YKL014C
YDR110W	YDR225W
YIL171W	YJR117W
YCL039W	YPL139C
YDL140C	YLR005W
YLR223C	YPR104C
YGR030C	YIR015W
YJL098W	YNL055C
YLR175W	YPL146C
YDL030W	YOR159C
YBR254C	YGR143W
YJL098W	YPL204W
YGL179C	YNL293W
YDL213C	YOR206W
YBL032W	YML059C
YKL028W	YPR052C
YGL137W	YIL136W
YFR004W	YLR060W
YHR200W	YNL302C
YBR283C	YPL076W
YEL036C	YGR132C
YHR027C	YOR374W
YEL018W	YNL136W
YDL134C	YGR161C
YBR159W	YJL196C
YDL014W	YPR152C
YLR147C	YPR101W
YDR225W	YPL043W
YGL134W	YOR178C
YGL179C	YGR135W
YDL168W	YMR290C
YFR004W	YIL133C
YDL159W	YDR356W
YFL026W	YJR066W
YGR074W	YNL092W
YHR135C	YIL115C
YJL013C	YJL030W
YBR173C	YPL031C
YMR109W	YOR181W
YDL028C	YIL144W
YDR100W	YPL095C
YBL032W	YPL002C
YAL013W	YPL139C
YDR510W	YJR123W
YDR131C	YOL025W
YJR091C	YNR048W
YFR017C	YPL203W
YDL140C	YOR124C
YBR166C	YNL317W
YOR127W	YOR326W
YBR279W	YDL140C
YGR275W	YMR131C
YEL063C	YKL065C
YBL045C	YIL061C
YOR159C	YPR178W
YLR019W	YLR310C
YBR251W	YJR101W
YLL050C	YNL138W
YMR216C	YPL204W
YJL164C	YNR019W
YNL244C	YPL028W
YDL159W	YGR287C
YDL101C	YJR104C
YJR091C	YLR156W
YGL120C	YGR130C
YLR315W	YML056C
YER167W	YER177W
YDL214C	YMR165C
YGL103W	YPL012W
YKL049C	YPR091C
YBL101C	YER177W
YBR098W	YDR386W
YKL009W	YNL002C
YML051W	YPL047W
YAL038W	YPR129W
YDL028C	YNL116W
YDL120W	YLL041C
YDR129C	YHR027C
YPL001W	YPR162C
YCR063W	YGL128C
YML057W	YPR108W
YDR510W	YOR374W
YBR263W	YFR031C-A
YEL063C	YGL051W
YJR066W	YKL161C
YDR054C	YPR164W
YDR510W	YOL116W
YDL059C	YER062C
YCR035C	YOR076C
YBL032W	YCL037C
YBL032W	YPR153W
YBL032W	YDR512C
YBR193C	YDL005C
YNL189W	YOR380W
YDR028C	YER129W
YBR283C	YPL234C
YBR109C	YLR196W
YJR074W	YOR185C
YER164W	YOR039W
YJL164C	YLR173W
