YBL052C	P34218	134
YBL054W	P34219	135
YBL055C	P34220	136
YBL056W	P34221	137
YBL057C	P34222	138
YBL058W	P34223	139
YBL059W	P34224	140
YBL060W	P34225	141
YBL061C	P34226	142
YBL063W	P28742	143
YBL064C	P34227	144
YBL066C	P34228	145
YBL067C	P38187	146
YBL068W	P38063	147
YBL069W	P35183	148
YBL072C	P0CX39	149
YBL074C	P32357	150
YBL075C	P09435	151
YBL076C	P09436	152
YBL078C	P38182	153
YBL079W	P38181	154
YBL080C	P33893	155
YBL081W	P38180	156
YBL082C	P38179	157
YBL084C	P38042	158
YBL085W	P38041	159
YBL086C	P38177	160
YBL087C	P0CX41	161
YBL088C	P38110	162
YBL089W	P38176	163
YBL090W	P38175	164
YBL091C	P38174	165
YBL091C-A	Q6Q595	166
YBL092W	P38061	167
YBL093C	P25046	168
YBL095W	P38172	169
YBL097W	P38170	170
YBL099W	P07251	171
YBL101C	P38167	172
YBL102W	P38166	173
YBL103C	P38165	174
YBL104C	P38164	175
YBL105C	P24583	176
YBL106C	P38163	177
YBL107C	P38162	178
YBL112C	Q3E7Y4	179
YBR001C	P35172	180
YBR002C	P35196	181
YBR003W	P18900	182
YBR005W	P38212	183
YBR006W	P38067	184
YBR010W	P61830	185
YBR011C	P00817	186
YBR014C	P38068	187
YBR015C	P38069	188
YBR016W	P38216	189
YBR017C	P38217	190
YBR018C	P08431	191
YBR019C	P04397	192
YBR020W	P04385	193
YBR021W	P05316	194
YBR023C	P29465	195
YBR024W	P38072	196
YBR025C	P38219	197
YBR026C	P38071	198
YBR028C	P38070	199
YBR029C	P38221	200
YBR030W	P38222	201
YBR031W	P10664	202
YBR033W	P38073	203
YBR034C	P38074	204
YBR035C	P38075	205
YBR036C	P35206	206
YBR037C	P23833	207
YBR038W	P14180	208
YBR039W	P38077	209
YBR040W	P38224	210
YBR041W	P38225	211
YBR042C	P38226	212
YBR043C	P38227	213
YBR044C	P38228	214
YBR045C	P38229	215
YBR046C	P38230	216
YBR047W	P38231	217
YBR048W	P0CX48	218
YBR049C	P21538	219
YBR050C	P38232	220
YBR052C	P38234	221
YBR053C	P38235	222
YBR054W	P38079	223
YBR055C	P19735	224
YBR056W	P38081	225
YBR057C	P38236	226
YBR058C	P38237	227
YBR059C	P38080	228
YBR061C	P38238	229
YBR062C	P38239	230
YBR063C	P38083	231
YBR065C	P38241	232
YBR066C	P38082	233
YBR067C	P27654	234
YBR068C	P38084	235
YBR069C	P38085	236
YBR070C	P38242	237
YBR071W	P38243	238
YBR072W	P15992	239
YBR073W	P38086	240
YBR074W	P38244	241
YBR077C	P38247	242
YBR078W	P38248	243
YBR079C	P38249	244
YBR080C	P18759	245
YBR081C	P35177	246
YBR082C	P15731	247
YBR083W	P18412	248
YBR084W	P09440	249
YBR085W	P18238	250
YBR086C	P38250	251
YBR087W	P38251	252
YBR088C	P15873	253
YBR090C	P38253	254
YBR091C	P32830	255
YBR093C	P00635	256
YBR094W	P38254	257
YBR095C	P38255	258
YBR096W	P38256	259
YBR097W	P22219	260
YBR098W	P38257	261
YBR101C	P38260	262
YBR102C	P38261	263
YBR103W	P38262	264
YBR104W	P38087	265
YBR105C	P38263	266
YBR106W	P38264	267
YBR107C	P38265	268
YBR108W	P38266	269
YBR109C	P06787	270
YBR110W	P16661	271
YBR111C	Q01976	272
YBR112C	P14922	273
YBR114W	P31244	274
YBR115C	P07702	275
YBR117C	P33315	276
YBR119W	P32605	277
YBR120C	P07253	278
YBR121C	P38088	279
YBR122C	P36531	280
YBR123C	P32367	281
YBR125C	P38089	282
