YIL072W	YNL154C
YKR014C	YOL018C
YJL151C	YMR152W
YDR277C	YJL020C
YBR211C	YPR046W
YML048W	YMR149W
YJL020C	YOR047C
YHR016C	YPR081C
YER151C	YIL051C
YML056C	YOL115W
YIL095W	YPR160W
YFL008W	YLL050C
YDL220C	YPL150W
YGR048W	YKL020C
YOR039W	YOR303W
YGL116W	YPL004C
YFL045C	YJR035W
YGL093W	YIL144W
YER151C	YLR449W
YOR267C	YPL260W
YPL240C	YPR054W
YGL123W	YHR200W
YBR114W	YMR315W
YHR195W	YLL039C
YIL144W	YPL260W
YJR104C	YNL135C
YDR510W	YHR187W
YER166W	YML072C
YNL081C	YNL197C
YDL155W	YJL076W
YHR018C	YLL039C
YJR066W	YPR185W
YKL039W	YLL039C
YCR028C-A	YER020W
YHR169W	YIR010W
YJL115W	YNL030W
YHL025W	YOR290C
YIR010W	YLR095C
YDR328C	YHR021C
YEL047C	YFR004W
YBR001C	YLL039C
YDL047W	YML048W
YBL032W	YDL233W
YBR086C	YJR045C
YBL032W	YGL192W
YDL029W	YDR063W
YGR092W	YGR223C
YJR153W	YNL197C
YHR094C	YLL006W
YGL059W	YHR082C
YGL175C	YPR119W
YDL214C	YHR139C
YAR042W	YER120W
YER151C	YLR109W
YDL181W	YKR054C
YDR176W	YLR423C
YBR137W	YOL111C
YGR092W	YKL140W
YBR055C	YLL036C
YDR224C	YPR019W
YDR176W	YOR023C
YJL036W	YPL201C
YBL032W	YDR505C
YDR342C	YJR066W
YHR082C	YNR047W
YBR129C	YOL016C
YDR264C	YOR212W
YBL032W	YOL004W
YDL059C	YGR086C
YLR079W	YOR039W
YML010W	YMR039C
YCL024W	YOR141C
YGL205W	YJR059W
YBR267W	YMR242C
YGR113W	YLR424W
YJL187C	YPR119W
YGR218W	YLL039C
YBL032W	YGR077C
YKL129C	YOR047C
YIL075C	YKL145W
YKR096W	YPR129W
YBR189W	YGL173C
YMR037C	YMR172W
YCL014W	YFR028C
YDR006C	YFR028C
YDR380W	YLL039C
YKR072C	YMR149W
YIR010W	YOR039W
YBL032W	YML104C
YKL049C	YKR046C
YMR099C	YPL231W
YBR272C	YDL007W
YBL032W	YMR041C
YGL006W	YLL039C
YFR004W	YPL061W
YMR031C	YPL004C
YLL039C	YNL305C
YDR510W	YER155C
YGR086C	YNL073W
YBL093C	YML007W
YHR082C	YNL073W
YDR161W	YDR466W
YAL032C	YDR176W
YBL084C	YPL174C
YDL077C	YMR231W
YCR009C	YOL100W
YGL120C	YOR290C
YBR081C	YDR510W
YBL032W	YDR522C
YDR377W	YPL078C
YBL038W	YOL027C
YFR004W	YML085C
YDR057W	YKL145W
YDR311W	YLR005W
YBL097W	YNL088W
YBL002W	YMR223W
YIR003W	YPL031C
YKR092C	YOR267C
YER063W	YKR048C
YIR010W	YML072C
YGL070C	YGR186W
YDR175C	YHL004W
YBR207W	YDR284C
YCR052W	YDR510W
YGL190C	YNL154C
YBL007C	YLR206W
YDR006C	YLL039C
YDL132W	YNL055C
YJL187C	YPL023C
YGL127C	YOR047C
YBL032W	YBR162C
YLR378C	YMR149W
YJL005W	YPR152C
YCR030C	YOR181W
YDL053C	YGL203C
YDL185W	YFR004W
YGR254W	YJR045C
YJR047C	YNL197C
YKL065C	YMR149W
YDR229W	YOR181W
YDR466W	YHL024W
YER178W	YKL049C
YBL016W	YOR141C
YFR004W	YHR193C
YBR069C	YLR343W
YJR121W	YML065W
YHR174W	YHR200W
