YFR010W	YHL030W
YBL050W	YLR093C
YFR004W	YIL075C
YCL054W	YLL008W
YDR498C	YML058W
YJL151C	YKL140W
YGR140W	YPL018W
YLR147C	YML046W
YDR032C	YHR001W
YER012W	YPR108W
YHR200W	YOR176W
YBR160W	YKL145W
YGR133W	YOL147C
YDR258C	YLR418C
YAL017W	YMR184W
YJL179W	YLR216C
YFR004W	YLR448W
YDL007W	YGL004C
YBR171W	YOR254C
YHR190W	YHR200W
YHL011C	YMR186W
YJL082W	YMR029C
YMR186W	YNR031C
YAR007C	YNL312W
YHR114W	YOR389W
YIL149C	YNL135C
YCL009C	YNL157W
YDR206W	YPR129W
YKL203C	YML052W
YDL203C	YDR247W
YBL087C	YER148W
YGR052W	YNL076W
YDL115C	YGL179C
YJL153C	YOR120W
YLR115W	YPR107C
YBR017C	YOR374W
YJL057C	YLR287C
YBR130C	YJL164C
YBL024W	YOL113W
YDR427W	YMR191W
YDR162C	YDR277C
YBR160W	YER032W
YMR068W	YNL207W
YFR010W	YPR108W
YFL039C	YNL110C
YBR225W	YNL307C
YLR337C	YNL084C
YBL072C	YPR152C
YCL032W	YCR027C
YBR234C	YLR337C
YJL010C	YJL069C
YOR327C	YPL232W
YER029C	YPR182W
YDL155W	YLR310C
YGL049C	YKL059C
YKL145W	YOL117W
YER012W	YGR232W
YER013W	YLR117C
YER177W	YGL181W
YDR100W	YML110C
YLR384C	YNL107W
YFR024C-A	YMR259C
YFR004W	YMR037C
YOR110W	YPL007C
YLR429W	YPR093C
YKL059C	YPR107C
YHR082C	YOR141C
YDR145W	YGL112C
YER012W	YML092C
YJR066W	YLR378C
YMR216C	YMR304W
YFR004W	YHR216W
YGL058W	YML101C
YDR092W	YGL087C
YCR073W-A	YGL059W
YFR004W	YMR219W
YAL028W	YPL026C
YER126C	YPL004C
YER148W	YMR205C
YDR368W	YFR004W
YDR477W	YJR111C
YKR034W	YMR308C
YGL181W	YGR178C
YGR130C	YJL165C
YJL117W	YPL264C
YBR194W	YGR186W
YGR136W	YPR081C
YFR031C-A	YKL180W
YHR156C	YOR238W
YLR310C	YPL100W
YDL095W	YHR200W
YBL087C	YGL227W
YJL036W	YOR132W
YKL049C	YLR347C
YER044C-A	YMR133W
YLR203C	YLR429W
YBR078W	YOL133W
YDR419W	YPR160W
YDL007W	YOR259C
YER042W	YIR037W
YGR130C	YOR273C
YFR004W	YLL018C
YFR022W	YJR010C-A
YDR343C	YER125W
YER133W	YPR160W
YBR041W	YPL145C
YBL105C	YNL232W
YCR091W	YMR216C
YFR004W	YLR216C
YLR276C	YNL110C
YDL028C	YPR048W
YAR007C	YMR224C
YGL141W	YKR064W
YDR477W	YNL218W
YGL181W	YPL049C
YEL034W	YKL047W
YMR291W	YOR089C
YPL006W	YPR032W
YDR142C	YJL014W
YBL002W	YKL049C
YMR005W	YNL216W
YDR009W	YOL133W
YDR323C	YOR351C
YML010W	YPL228W
YBL087C	YKL117W
YML085C	YML124C
YFR021W	YNL242W
YFR031C-A	YJL191W
YLR117C	YPR152C
YHL023C	YNL307C
YBL075C	YLR310C
YEL034W	YJR047C
YER120W	YML065W
YLR005W	YPR056W
YGL049C	YJR076C
YDR180W	YJL074C
YBL067C	YHR082C
YDL148C	YNL110C
YHR001W	YOR273C
YCL054W	YMR290C
YDR486C	YLR025W
YLR085C	YPL235W
YGL256W	YNL307C
YDL047W	YNR016C
YGL179C	YJR092W
YGL012W	YNL280C
YBR142W	YHR052W
YDR100W	YPL100W
YDR318W	YGL060W
YER133W	YPR016C
YGL206C	YNL007C
YNL112W	YPR152C
YGL129C	YOL027C
YER021W	YKL100C
YHL031C	YOL018C
YDR254W	YPR046W
YBR188C	YKR034W
YGL021W	YLL015W
YBR183W	YJL117W
YJR125C	YOR351C
YJL106W	YNL116W
YGL017W	YLR234W
YDR356W	YLL003W
YKL021C	YPL093W
YGR250C	YKL049C
YHL033C	YKL180W
YFR010W	YJR066W
YHR194W	YPL117C
YLR328W	YML064C
YER074W	YER148W
YER042W	YFR004W
YFR037C	YOR290C
YKL095W	YLR147C
YGL004C	YIL007C
YAL021C	YNL278W
YNL110C	YPL043W
YER065C	YNL006W
YDL060W	YML010W
YJR109C	YPL235W
YJR098C	YMR304W
YDL015C	YLR411W
YDR143C	YER006W
YBR211C	YPR046W
YDL031W	YML010W
YHR016C	YPR081C
YKL054C	YKL117W
YGL179C	YJL146W
YDR473C	YER029C
YDL175C	YIL079C
YKR082W	YMR308C
YML008C	YMR015C
YFL008W	YLL050C
YDL147W	YFR010W
YDL005C	YPL042C
YCL032W	YFR034C
YDR477W	YIL107C
YDL220C	YPL150W
YDL148C	YER035W
YGR097W	YNL025C
YER006W	YNL061W
YGR048W	YKL020C
YER177W	YLR177W
YGL093W	YIL144W
YBR160W	YOR014W
YHR113W	YML064C
YBR126C	YJR138W
YDL027C	YHR082C
YBR160W	YJL051W
YDR335W	YKR082W
YGL099W	YKL180W
YKL171W	YOL104C
YDR418W	YFR034C
YCR093W	YDR145W
YOR319W	YPR152C
YHR052W	YNL230C
YDR477W	YLL027W
YKL054C	YNL288W
YIL144W	YPL260W
YJR104C	YNL135C
YIR001C	YNL138W
YIL061C	YMR319C
YJL164C	YPL100W
YBR188C	YLR424W
YER006W	YML065W
YHL025W	YOR290C
YGL104C	YHR114W
YFR004W	YIL116W
YAL028W	YBR171W
YBR086C	YJR045C
YGR097W	YLR113W
YBR017C	YDL204W
YGL059W	YHR082C
YJL106W	YMR100W
YAR042W	YER120W
YJR063W	YLR248W
YDR308C	YNL236W
YBR137W	YOL111C
YDL060W	YNR054C
YHR152W	YLR044C
YER133W	YHL033C
YER142C	YHR216W
YBR160W	YML065W
YOL027C	YPR166C
YNL236W	YPL042C
YJL036W	YPL201C
YGR103W	YNL124W
YDL153C	YLR409C
YBR017C	YNR069C
YAL027W	YLR429W
YHR082C	YNR047W
YDL056W	YNR009W
YNL006W	YPL180W
YCL024W	YOR141C
YGL205W	YJR059W
YCR072C	YLR009W
YAL025C	YGR103W
YOR351C	YPL100W
YBR194W	YPL226W
YGR252W	YLR418C
YFR050C	YML092C
YFR024C-A	YOR247W
YIL075C	YKL145W
YDL115C	YMR291W
YBR160W	YKL022C
YDR377W	YML081C-A
YMR037C	YMR172W
YBL105C	YFR024C-A
YBR160W	YHL050C
YOR124C	YOR138C
YEL013W	YJL151C
YAR042W	YDR100W
YKL049C	YKR046C
YBR272C	YDL007W
YGL017W	YNL157W
YBR160W	YNL272C
YFR004W	YPL061W
YFR004W	YML126C
YHR133C	YLR450W
YBR160W	YLR425W
YGL156W	YJL074C
YKR092C	YNL112W
YER148W	YOL148C
YBL072C	YDL213C
YLL008W	YLR276C
YJR010C-A	YLR185W
YDL001W	YIR009W
YKL012W	YPR182W
YDR377W	YPL078C
YBR160W	YDL220C
YBR253W	YGL025C
YLR113W	YPL254W
YBL038W	YOL027C
YDL159W	YLR113W
YFR004W	YML085C
YDR057W	YKL145W
YDR311W	YLR005W
YHR158C	YJR059W
YNL186W	YOL113W
YJL164C	YOR386W
YBR207W	YDR284C
YMR080C	YOL123W
YDL031W	YPR016C
YBR142W	YHR216W
YBL075C	YGR104C
YKL126W	YLR429W
YLR378C	YMR149W
YJL005W	YPR152C
YJL034W	YPR181C
YGR254W	YJR045C
YBL104C	YER029C
YDR229W	YOR181W
YER148W	YGR056W
YBR136W	YJL173C
YFR004W	YOR042W
YBR221C	YLR418C
YFR004W	YHR193C
YBL047C	YFR004W
YBR069C	YLR343W
YJR121W	YML065W
YHR200W	YLR113W
YBR193C	YNL236W
YIL038C	YOR351C
YOR362C	YPL150W
YFR024C-A	YGL104C
YER133W	YLR449W
YDL153C	YJL164C
YDR064W	YNL110C
YDL015C	YPL264C
YAL047C	YLR212C
YDR288W	YOR358W
YBR272C	YGL004C
YOL086C	YOR304W
