YKL159C	YLR433C
YDL052C	YFR009W
YGL092W	YJL039C
YLR276C	YOL127W
YML127W	YMR091C
YDR318W	YLR381W
YDR310C	YPR152C
YBL061C	YMR242C
YCR091W	YNL045W
YDR394W	YFR010W
YDR190C	YIR010W
YGL006W	YML018C
YBR207W	YGL006W
YJR097W	YNL092W
YJR075W	YLL039C
YBL045C	YDR388W
YDL168W	YFR004W
YFR004W	YKL060C
YDR295C	YJR112W
YHR191C	YNL290W
YER146W	YLR058C
YBL003C	YKR092C
YFL009W	YOL133W
YIR010W	YNL262W
YDR240C	YPL178W
YDR130C	YGR159C
YDR080W	YGR013W
YDR288W	YLR007W
YER013W	YMR125W
YBR247C	YDL060W
YDR063W	YFL039C
YLL039C	YML101C
YBR107C	YDR318W
YLR380W	YLR429W
YFR004W	YGL039W
YBR079C	YOR361C
YAL038W	YOR160W
YNL175C	YPL220W
YLL039C	YNL141W
YCR012W	YEL031W
YOR153W	YPL058C
YLR075W	YOR063W
YDR080W	YNL238W
YDR174W	YER095W
YJR123W	YPR137W
YBR193C	YGL253W
YBL003C	YPL235W
YFR011C	YOL006C
YAR018C	YOL054W
YGL174W	YGL216W
YBL002W	YPL047W
YOR275C	YPR173C
YMR227C	YPL248C
YMR071C	YOL016C
YDR471W	YOR063W
YLR332W	YMR299C
YER047C	YER095W
YDL002C	YGR092W
YGL076C	YLR441C
YCR004C	YMR086W
YER103W	YLR293C
YBL007C	YGR227W
YDR091C	YLL045C
YBR090C	YHR135C
YGL234W	YKL166C
YDR101C	YNL209W
YHL009C	YMR314W
YBR010W	YDR469W
YLR016C	YLR086W
YGR280C	YJL148W
YLL024C	YMR229C
YGL206C	YGR241C
YER034W	YHR135C
YJR066W	YMR011W
YPR112C	YPR154W
YAR007C	YDR129C
YJL081C	YLR085C
YBL003C	YJL076W
YER012W	YJL130C
YCR091W	YGL245W
YHL011C	YOR133W
YGL087C	YOL081W
YFR013W	YIR010W
YBL016W	YPR086W
YGL181W	YHR161C
YLL039C	YOL133W
YDL097C	YFR004W
YCL037C	YGL014W
YER172C	YJR068W
YOL040C	YOR063W
YFR004W	YJL052W
YCL054W	YDL014W
YDR412W	YJL039C
YER146W	YHR165C
YOR233W	YOR294W
YNL255C	YNR032C-A
YDR190C	YLL039C
YKL082C	YOL041C
YDL239C	YKL042W
YDR388W	YHR079C
YIL050W	YJL084C
YJL014W	YOL146W
YER032W	YHR114W
YGR132C	YNL055C
YDR130C	YMR194W
YLL039C	YML130C
YCR084C	YNL025C
YJL138C	YOL013C
YER165W	YOR098C
YFR004W	YHR068W
YAL035W	YJR007W
YLL006W	YNL070W
YBR109C	YKR025W
YIL158W	YNL255C
YGR167W	YLR330W
YIR010W	YJR144W
YOR096W	YPL220W
YCL010C	YGR252W
YMR125W	YPR182W
YOR285W	YPR183W
YCR088W	YIL095W
YGL023C	YNL183C
YGR021W	YNL255C
YDR392W	YHR099W
YGL189C	YNL255C
YNL162W	YOL097C
YMR146C	YOR361C
YLL039C	YMR261C
YHL029C	YLL039C
YIL016W	YPL264C
YDR129C	YNL138W
YBR267W	YDR101C
YDL083C	YLL045C
YMR314W	YPR103W
YBR154C	YGR200C
YBL023C	YGL201C
YAL053W	YLR342W
YFR031C-A	YOL040C
YCR053W	YFR004W
YDL160C	YOR204W
YML065W	YPL220W
YFR004W	YLR044C
YGL233W	YJL036W
YDR418W	YDR471W
YLR310C	YNL025C
YDL190C	YER057C
YER040W	YNL229C
YBR059C	YIL095W
YBR011C	YPL111W
YBL002W	YGR054W
YGR030C	YIR015W
YKL166C	YOR002W
YJL098W	YNL055C
YGL129C	YJR101W
YGL006W	YJL178C
YBL072C	YLL045C
YDL100C	YHR128W
YDL030W	YOR159C
YGR253C	YOR157C
YFL017C	YGR135W
YIR010W	YJR112W
YGL141W	YLL039C
YBR254C	YGR143W
YGL179C	YNL293W
YBR010W	YER147C
YBR278W	YNL255C
YKL028W	YPR052C
YGL066W	YMR186W
YDR418W	YNL255C
YCL054W	YPR161C
YFR004W	YLR060W
YGL011C	YGR253C
YEL018W	YFL024C
YDR388W	YIL156W
YML029W	YNL294C
YDR171W	YPR010C
YML083C	YNL154C
YEL034W	YNL085W
YDR407C	YMR218C
YEL018W	YNL136W
YNL255C	YNR007C
YDL014W	YPR152C
YDL207W	YGR192C
YGL207W	YHL007C
YBL016W	YDR440W
YBR109C	YNL281W
YGR111W	YLL039C
YDR471W	YFR004W
YBL002W	YPL001W
YLR044C	YLR249W
YGL179C	YGR135W
YCR020W-B	YGR056W
YFL038C	YOR115C
YBR285W	YHR079C
YDL159W	YDR356W
YFL026W	YJR066W
YDR427W	YGR067C
YGL200C	YNL130C
YGL058W	YPR161C
YKL089W	YPR018W
YDR430C	YER178W
YOL091W	YOR373W
YMR109W	YOR181W
YBR010W	YOR290C
YBR010W	YJR119C
YLL039C	YNL103W
YLR447C	YNL255C
YGL245W	YPR152C
YIL094C	YLR048W
