YGL059W	YKR100C
YDL207W	YKL057C
YFL039C	YGR229C
YBL037W	YNL307C
YAL016W	YPL152W
YKL161C	YPL031C
YHR079C	YKR105C
YHR099W	YOL083W
YJR093C	YNL222W
YKL185W	YLL039C
YHR058C	YNL236W
YDL132W	YLR368W
YMR008C	YNL197C
YBR194W	YOL016C
YHR137W	YLR278C
YML031W	YPL177C
YGR047C	YPL008W
YHR140W	YNL044W
YIL177C	YPR034W
YDR422C	YOR027W
YBL032W	YBR289W
YDR477W	YNL257C
YHL007C	YMR053C
YPL043W	YPL093W
YDL212W	YDR307W
YDR283C	YGL195W
YFL041W	YOL044W
YDR150W	YDR247W
YCR002C	YDR085C
YDR086C	YOR254C
YDL207W	YER107C
YAL043C	YLR340W
YHL030W	YOL133W
YLL039C	YPR075C
YMR258C	YNL093W
YDR301W	YOL145C
YFR014C	YJL136C
YER128W	YFR014C
YBR059C	YNL227C
YLR006C	YNR031C
YJL115W	YNL113W
YBL003C	YDR083W
YHR083W	YMR203W
YLR318W	YPL240C
YJL014W	YLR259C
YLL024C	YLR035C
YMR047C	YOL144W
YDL019C	YJL207C
YDR301W	YER133W
YDL127W	YPL031C
YLL028W	YNL197C
YER120W	YGR086C
YBL030C	YER182W
YDL100C	YML048W
YLR201C	YOR125C
YIL143C	YOL090W
YCR093W	YDR293C
YCR076C	YNL118C
YBL058W	YOL128C
YER098W	YKL171W
YHR094C	YIR038C
YDR207C	YOR355W
YGR156W	YKR002W
YPL116W	YPL220W
YDL195W	YLR429W
YDR166C	YLL039C
YIL133C	YLR175W
YDR244W	YNL329C
YDR538W	YMR304W
YDL123W	YLL048C
YAL032C	YLR187W
YFR017C	YGL059W
YIR010W	YMR100W
YLL039C	YMR054W
YER151C	YOR136W
YER133W	YGR156W
YDL123W	YGR163W
YFL038C	YPR017C
YBR159W	YNL279W
YGL011C	YIR030C
YIL143C	YOR352W
YHR027C	YMR145C
YHR027C	YIL074C
YKL210W	YOR027W
YDR408C	YOR361C
YBR193C	YDR308C
YBR207W	YHR094C
YBR282W	YML025C
YNL251C	YNL330C
YKL166C	YPL056C
YBR193C	YOR192C
YER133W	YMR140W
YLL039C	YNL074C
YKL051W	YLR413W
YHR152W	YLR132C
YDL207W	YDR159W
YHL048W	YPR028W
YGR046W	YLR259C
YBR060C	YNL031C
YDR298C	YKL016C
YIL027C	YJL117W
YPL031C	YPL118W
YDR172W	YFL039C
YBR159W	YHL048W
YCR038C	YIL140W
YBR070C	YGL047W
YGL011C	YKR070W
YFR028C	YGR092W
YHR011W	YIL063C
YBL026W	YLR117C
YFL005W	YNL293W
YGR270W	YMR049C
YBL032W	YMR317W
YDR388W	YER127W
YDR099W	YOR117W
YGL051W	YJL106W
YBR017C	YMR145C
YBL032W	YLR394W
YER151C	YPL160W
YKL060C	YNL127W
YIL143C	YNL085W
YDR044W	YOR093C
YNL189W	YPL153C
YER120W	YOR117W
YDL047W	YFR019W
YFL039C	YLR337C
YKL104C	YLL039C
YKL060C	YOR117W
YML127W	YMR091C
YDR238C	YER112W
YBL032W	YLR089C
YLL039C	YLR002C
YER151C	YML056C
YDR021W	YNL271C
YCR077C	YKL054C
YBR207W	YGL006W
YBL106C	YKL117W
YDR328C	YLR267W
YIR038C	YML012W
YBR157C	YGL075C
YJR097W	YNL092W
YBL032W	YBR230C
YJR075W	YLL039C
YER151C	YGL173C
YER006W	YKL014C
YDR295C	YJR112W
YIR010W	YNL262W
YOL059W	YOR117W
YGL056C	YGL195W
YNL271C	YPR165W
YCR034W	YJL222W
YDR063W	YFL039C
YLL039C	YML101C
YHR027C	YPR108W
YBR020W	YPL248C
YLL039C	YNL141W
YAL001C	YDR381W
YAL028W	YPL153C
YDR016C	YLR117C
YBL032W	YKL129C
YFR011C	YOL006C
YDR100W	YDR189W
YMR186W	YOR027W
YMR227C	YPL248C
YER047C	YER095W
YLR455W	YOL077C
YBL032W	YLL010C
YDL002C	YGR092W
YGL105W	YHR082C
YLL028W	YOR254C
YJL092W	YKR027W
YHR206W	YPR165W
YKL185W	YPL031C
YDR490C	YKL126W
YGL206C	YGR241C
YBR217W	YHR033W
YJR066W	YMR011W
YDL230W	YOL041C
YEL013W	YFL039C
YFL038C	YHR027C
YJR022W	YNL227C
YBR017C	YHR200W
YKL064W	YPL031C
YJL081C	YLR085C
YKL064W	YNL307C
YDR099W	YPR080W
TL(UAA)J	YAL001C
YGL087C	YOL081W
YFR013W	YIR010W
YDR510W	YPL129W
YGL181W	YHR161C
YDR060W	YPL131W
YMR257C	YNL121C
YGL055W	YML012W
YLL039C	YOL133W
YAL028W	YOR254C
YBR112C	YHL002W
YER172C	YGR074W
YIL126W	YOR290C
YML074C	YOR080W
YBL032W	YOR322C
YFL039C	YOR117W
YHR183W	YHR200W
YHR200W	YNL239W
YIL121W	YLL028W
YLL039C	YOR161C
YAR002C-A	YGL200C
YDR388W	YHR079C
YJL014W	YOL146W
YHR174W	YKL049C
YHR027C	YMR099C
YER112W	YER172C
YER151C	YLR447C
YER126C	YPL131W
YDR303C	YIL126W
YLL006W	YNL070W
YER050C	YPL118W
YCL044C	YLL039C
YIR010W	YJR144W
YDR510W	YMR186W
YER151C	YOR369C
YBR280C	YDL132W
YGR092W	YML037C
YDR054C	YIL046W
YDR392W	YHR099W
YGL200C	YML048W
YBL097W	YHL002W
YOR007C	YOR164C
YGR009C	YPL232W
YLL039C	YMR261C
YFL049W	YJL176C
YMR159C	YPL149W
YDR510W	YOR099W
YBR251W	YMR188C
YKL206C	YPR103W
YGL003C	YJL106W
YDR510W	YOR017W
YCR061W	YNL197C
YIL003W	YPL240C
YHR023W	YKL049C
YMR314W	YPR103W
YGR214W	YKL029C
YCL039W	YDL185W
YDR388W	YPL031C
YBL023C	YGL201C
YBR017C	YBR247C
YDL164C	YKL113C
YDR381W	YIL095W
YGL233W	YJL036W
YBR059C	YIL095W
YGR129W	YMR213W
YER151C	YHR183W
YDR087C	YOL077C
YBL002W	YGR054W
YIL007C	YLR304C
YLR175W	YPL146C
YIR010W	YJR112W
YFR028C	YML064C
YGL048C	YML012W
YNL306W	YPL013C
YKR072C	YPR113W
YBR010W	YER147C
YFR014C	YML048W
YBL032W	YML059C
YKL028W	YPR052C
YGL250W	YLR082C
YGR058W	YGR136W
YGL066W	YMR186W
YML037C	YNL307C
YAL025C	YOR267C
YHR058C	YPL042C
YGL011C	YGR253C
YBR052C	YGR281W
YEL018W	YFL024C
YDR388W	YGL252C
YEL036C	YGR132C
YHR027C	YOR374W
YDL101C	YER079W
YDL134C	YGR161C
YBR159W	YJL196C
YDR238C	YML067C
YBR200W	YLR362W
YGR111W	YLL039C
YDR016C	YGR113W
YBL002W	YPL001W
YCR020W-B	YGR056W
YIR010W	YJL008C
YBR285W	YHR079C
YDL159W	YDR356W
YDR427W	YGR067C
YHL018W	YPL070W
YGR074W	YNL092W
YJL013C	YJL030W
YER126C	YPL093W
YDR347W	YMR188C
YCR077C	YGL173C
YBL032W	YER070W
YHR200W	YLL039C
YOL091W	YOR373W
YBR173C	YPL031C
YBR010W	YOR290C
YDR100W	YPL095C
YBL032W	YPL002C
YDR131C	YOL025W
YDL070W	YLR227C
YDR195W	YLR115W
YBR010W	YNL031C
YMR179W	YNL197C
YOL016C	YPL138C
YBL032W	YOR267C
YGR275W	YMR131C
YBR251W	YJR101W
YML051W	YOR355W
YKL079W	YNL272C
YBL002W	YNL030W
YBR154C	YLR223C
YDL101C	YJR104C
YKL109W	YOR290C
YER151C	YOL077C
YBL032W	YKL025C
YDR308C	YGL025C
YDR039C	YLL039C
YBL003C	YDR052C
YKL061W	YNL122C
YGR238C	YOL069W
YBR059C	YHR063C
YBL092W	YGL014W
YKL049C	YPR091C
YLR085C	YLR259C
YIR010W	YJL165C
YBR098W	YDR386W
YIR010W	YOR341W
YPL248C	YPR086W
YDR510W	YKR025W
YBL032W	YDR534C
YBR010W	YLL004W
YDR129C	YHR027C
YBL032W	YHR205W
YLR015W	YPL138C
YLL039C	YLR293C
YML057W	YPR108W
YDR312W	YFR014C
YDR510W	YOR374W
YDR099W	YJL141C
YDR027C	YOR036W
YJR066W	YKL161C
YGR142W	YJR127C
YGL030W	YPL093W
YBR152W	YPR178W
YDR054C	YPR164W
YHR027C	YOR117W
YBR234C	YEL037C
YBL003C	YCL054W
YIL107C	YLL039C
YIR010W	YMR145C
YDR510W	YOL116W
YBL054W	YIR010W
YGL059W	YNR039C
YER151C	YKL049C
YCR035C	YOR076C
YBR112C	YCL067C
YLL050C	YLR319C
YBL032W	YDR512C
YML085C	YOR136W
YGR294W	YPL240C
YER151C	YPL131W
YDR510W	YHR174W
YIR010W	YOR026W
YDR357C	YKL061W
YBR193C	YDL005C
YNL189W	YOR380W
YDL135C	YPR165W
YDR308C	YPR070W
YJL146W	YPL154C
YHR030C	YNL167C
YDR466W	YML037C
YGL014W	YGL070C
YJR022W	YOL031C
YDR074W	YHR082C
YNL031C	YPR023C
YBR102C	YLL039C
YDR285W	YKL166C
YDR381W	YIR001C
YBL023C	YLR002C
YGR060W	YKL008C
YGL172W	YJL057C
YDR265W	YOL044W
