Complex_ID,Complex_Size,Complex_Score,Complex_Overlap_Score,Protein_ID,Protein_Name
Complex_16,38,0.9819,0.5263,866,YPR010C
Complex_16,38,0.9819,0.5263,320,YGR005C
Complex_16,38,0.9819,0.5263,884,YPR110C
Complex_16,38,0.9819,0.5263,288,YGL070C
Complex_16,38,0.9819,0.5263,419,YIL021W
Complex_16,38,0.9819,0.5263,480,YJR063W
Complex_16,38,0.9819,0.5263,817,YOR340C
Complex_16,38,0.9819,0.5263,327,YGR063C
Complex_16,38,0.9819,0.5263,702,YNL151C
Complex_16,38,0.9819,0.5263,547,YLR106C
Complex_16,38,0.9819,0.5263,899,YPR190C
Complex_16,38,0.9819,0.5263,781,YOR116C
Complex_16,38,0.9819,0.5263,404,YHR143W-A
Complex_16,38,0.9819,0.5263,818,YOR341W
Complex_16,38,0.9819,0.5263,637,YMR012W
Complex_16,38,0.9819,0.5263,123,YDL140C
Complex_16,38,0.9819,0.5263,842,YPL129W
Complex_16,38,0.9819,0.5263,508,YKL144C
Complex_16,38,0.9819,0.5263,520,YKR025W
Complex_16,38,0.9819,0.5263,158,YDR156W
Complex_16,38,0.9819,0.5263,141,YDR045C
Complex_16,38,0.9819,0.5263,462,YJL148W
Complex_16,38,0.9819,0.5263,744,YOL005C
Complex_16,38,0.9819,0.5263,797,YOR207C
Complex_16,38,0.9819,0.5263,166,YDR211W
Complex_16,38,0.9819,0.5263,717,YNL248C
Complex_16,38,0.9819,0.5263,127,YDL150W
Complex_16,38,0.9819,0.5263,555,YLR180W
Complex_16,38,0.9819,0.5263,445,YJL011C
Complex_16,38,0.9819,0.5263,284,YGL043W
Complex_16,38,0.9819,0.5263,317,YGL245W
Complex_16,38,0.9819,0.5263,696,YNL113W
Complex_16,38,0.9819,0.5263,461,YJL140W
Complex_17,8,0.9819,0.375,64,YBR245C
Complex_17,8,0.9819,0.375,432,YIL126W
Complex_17,8,0.9819,0.375,276,YFR037C
Complex_17,8,0.9819,0.375,516,YKR001C
Complex_17,8,0.9819,0.375,304,YGL133W
Complex_17,8,0.9819,0.375,812,YOR304W
Complex_17,8,0.9819,0.375,271,YFR013W
Complex_17,8,0.9819,0.375,153,YDR121W
