Complex_ID,Size,Score,Overlap_Score,Protein_Names,CC_Enriched_Terms,CC_Min_Pvalue,CC_Significant,BP_Enriched_Terms,BP_Min_Pvalue,BP_Significant,MF_Enriched_Terms,MF_Min_Pvalue,MF_Significant,Total_Enriched_Terms,Overall_Min_Pvalue,Overall_Significant
Complex_31,5,0.9435,1.0,YCR002C;YDL225W;YJR076C;YLR314C;YHR107C,28,4.01e-13,True,44,2.69e-10,True,27,3.99e-10,True,99,4.01e-13,True
Complex_32,8,0.9424,0.7656,YIL084C;YOL004W;YNL330C;YPL181W;YMR263W;YMR075W;YPR023C;YIL035C,9,5.84e-15,True,73,1.09e-10,True,2,0.006622,True,84,5.84e-15,True
Complex_33,5,0.942,0.6,YBR211C;YGR179C;YDR254W;YLR381W;YDR383C,8,1.04e-07,True,17,1.56e-05,True,0,1.0,False,25,1.04e-07,True
Complex_34,29,0.9417,0.2874,YBR267W;YGL099W;YDR101C;YNL002C;YNR053C;YER006W;YPR016C;YKL009W;YLR106C;YPL093W;YPL211W;YHR197W;YGR245C;YNL182C;YER126C;YGR103W;YHR052W;YKR081C;YCR072C;YPL249C-A;YNL110C;YLL045C;YDL031W;YOR063W;YGL103W;YDL075W;YGL030W;YMR194W;YHR170W,15,8.93e-22,True,38,2.98e-23,True,7,8.83e-06,True,60,2.98e-23,True
Complex_35,5,0.9408,0.04,YIL103W;YKL191W;YOR133W;YOR151C;YER086W,0,1.0,False,0,0.052543,False,1,0.003241,True,1,0.003241,True
Complex_36,13,0.9346,0.2308,YDR121W;YGL133W;YOR304W;YFR013W;YOR116C;YBR245C;YFR037C;YIL126W;YPR175W;YDR224C;YKR001C;YDR190C;YNL262W,17,2.66e-11,True,46,7.98e-05,True,29,4.19e-05,True,92,2.66e-11,True
Complex_37,5,0.9345,0.6,YGL105W;YGR264C;YGL245W;YPR010C;YER086W,4,1.71e-07,True,4,0.003388,True,0,0.064145,False,8,1.71e-07,True
Complex_38,12,0.9337,0.0278,YGL195W;YOR136W;YIL094C;YKL029C;YBR025C;YLR180W;YDL143W;YPL235W;YFR009W;YNL037C;YER110C;YFL045C,5,0.002605,True,0,0.058528,False,13,4.12e-04,True,18,4.12e-04,True
Complex_39,61,0.9317,0.1967,YCR072C;YNR053C;YPL093W;YLR074C;YLR325C;YER126C;YNL002C;YER006W;YPR016C;YKL009W;YNL061W;YLL008W;YLR002C;YPL211W;YLR106C;YHR197W;YGR245C;YNL182C;YGL111W;YDR101C;YOR272W;YGR103W;YFL002C;YMR290C;YOL077C;YHR085W;YMR049C;YHR052W;YKR081C;YOR206W;YDR496C;YPL249C-A;YLR449W;YDR060W;YNL110C;YGL076C;YLL045C;YFR001W;YBL087C;YDL031W;YLR276C;YPL043W;YKL172W;YOR063W;YCL054W;YHR088W;YML073C;YLL034C;YPR102C;YGR085C;YGL103W;YPL131W;YGL030W;YDR471W;YOL127W;YDL082W;YLR029C;YGL147C;YHR010W;YPL198W;YMR242C,24,1.15e-53,True,48,1.39e-44,True,12,1.40e-14,True,84,1.15e-53,True
Complex_40,28,0.9295,0.6857,YDR235W;YGR013W;YIL061C;YHR086W;YDR240C;YGR074W;YLR147C;YJL124C;YGR091W;YBL026W;YMR240C;YPR057W;YDL098C;YER112W;YPL213W;YLL036C;YDL043C;YOR308C;YBR055C;YCR077C;YOR159C;YHR165C;YDR378C;YPL178W;YPR082C;YJL203W;YER172C;YBL074C,33,5.80e-50,True,25,2.71e-39,True,3,2.18e-08,True,61,5.80e-50,True
