Complex_ID,Complex_Size,Complex_Score,Complex_Overlap_Score,Protein_ID,Protein_Name,CC_Enriched_Terms,CC_Min_Pvalue,CC_Significant,BP_Enriched_Terms,BP_Min_Pvalue,BP_Significant,MF_Enriched_Terms,MF_Min_Pvalue,MF_Significant,Total_Enriched_Terms,Overall_Min_Pvalue,Overall_Significant
Complex_15,22,0.965,0.5,387,YHR041C,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,389,YHR058C,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,714,YNL236W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,308,YGL151W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,762,YOL135C,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,206,YDR448W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,367,YGR252W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,862,YPL254W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,661,YMR223W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,828,YPL042C,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,664,YMR236W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,185,YDR308C,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,734,YNR010W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,160,YDR167W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,398,YHR099W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,298,YGL112C,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,92,YCR081W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,155,YDR145W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,43,YBR081C,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,791,YOR174W,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_15,22,0.965,0.5,371,YGR274C,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_16,15,0.9649,0.6722,387,YHR041C,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,714,YNL236W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,398,YHR099W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,206,YDR448W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,661,YMR223W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,664,YMR236W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,155,YDR145W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,862,YPL254W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,160,YDR167W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,298,YGL112C,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,43,YBR081C,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,367,YGR252W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,371,YGR274C,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,250,YER148W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_16,15,0.9649,0.6722,636,YMR005W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,155,YDR145W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,298,YGL112C,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,636,YMR005W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,160,YDR167W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,664,YMR236W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,371,YGR274C,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,862,YPL254W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,367,YGR252W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,661,YMR223W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,714,YNL236W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,387,YHR041C,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,398,YHR099W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,206,YDR448W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,43,YBR081C,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,250,YER148W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_18,24,0.9636,0.2042,498,YKL029C,9,1.07e-08,True,30,6.16e-11,True,0,0.090954,False,39,6.16e-11,True
Complex_18,24,0.9636,0.2042,547,YLR106C,9,1.07e-08,True,30,6.16e-11,True,0,0.090954,False,39,6.16e-11,True
