T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YLL060C	0	1	1	1	1	1	1	1	0	0	1	0
YOR189W	1	0	0	1	0	1	0	1	1	1	1	1
YBR108W	1	1	1	1	1	1	1	0	1	0	0	0
YBL097W	1	1	1	1	0	0	0	1	1	0	1	1
YPR107C	1	1	1	1	1	1	1	0	1	1	1	1
YJL061W	0	0	1	0	1	1	0	1	1	1	1	1
YPR070W	0	0	1	1	0	1	0	1	1	1	0	0
YPL248C	1	1	1	1	1	1	1	0	0	1	1	0
YIL016W	1	0	0	1	1	1	0	1	0	1	1	1
YDL108W	0	0	0	1	1	1	1	1	1	1	1	1
YPR191W	1	1	1	1	0	0	0	0	1	1	1	1
YBR268W	1	1	0	0	0	0	0	0	1	1	1	1
YGL173C	1	1	1	1	1	1	1	0	0	1	1	0
YLR249W	1	0	0	0	0	0	1	1	1	1	1	1
YOR051C	0	0	1	1	1	1	1	1	1	1	1	1
YPR179C	0	1	1	1	1	1	1	1	1	1	1	1
YNL261W	0	1	0	0	1	1	0	1	1	1	1	1
YOL021C	0	0	0	1	1	1	1	1	1	1	1	1
YLR455W	1	1	1	0	0	0	0	1	1	1	1	1
YBL045C	1	1	1	1	0	0	0	0	1	1	1	1
YKL129C	1	1	1	1	1	1	1	0	0	0	0	0
YDR275W	1	1	1	1	1	1	1	0	0	1	0	0
YJR051W	1	1	0	1	0	1	0	1	1	1	1	1
YMR223W	0	1	1	1	1	1	0	1	1	1	1	1
YLR274W	0	1	1	1	1	0	1	1	1	1	1	0
YPR068C	1	0	1	1	0	1	0	0	1	1	1	1
YLR028C	1	1	1	1	1	1	1	1	0	0	0	0
YLL034C	0	0	0	1	1	1	1	1	1	1	1	1
YER059W	0	1	1	1	1	1	1	0	0	0	1	1
YGL022W	1	1	1	0	0	0	1	1	1	1	1	1
YNL197C	1	1	1	1	0	0	0	1	1	1	1	1
YDL080C	1	0	0	0	0	1	1	1	1	1	1	1
YDR449C	0	0	0	1	1	1	1	1	1	1	1	1
