	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YJR147W	0	0	0	1	1	0	0	1	1	1	1	1
YIR010W	1	1	1	0	0	0	0	1	1	1	1	1
YFL067W	1	1	0	1	1	1	0	1	0	1	0	1
YJL207C	1	1	0	1	1	1	0	0	1	1	0	1
YHR097C	1	1	1	1	1	1	1	0	0	0	0	0
YDR387C	1	1	1	0	1	0	1	0	1	1	1	1
YLR453C	1	1	1	1	0	1	1	1	0	0	1	1
YKR010C	1	0	1	0	0	0	1	0	1	1	1	1
YMR135C	1	1	1	1	1	1	0	0	1	0	1	0
YNR058W	1	0	1	0	0	0	1	1	1	1	1	1
YJR067C	0	0	0	0	1	1	1	1	1	1	1	1
YMR102C	0	1	1	1	1	1	1	1	0	0	0	0
YNR069C	1	0	1	1	1	1	1	1	0	1	0	0
YDR322W	1	1	0	0	0	0	0	0	1	1	1	1
YIL002C	1	1	0	1	1	1	1	0	0	1	1	1
YPL258C	1	1	0	0	0	0	0	0	1	1	1	1
YCR043C	1	0	0	0	0	0	0	1	1	1	1	1
YML036W	1	0	1	0	0	0	0	1	1	1	1	1
YDR085C	1	1	1	1	1	1	1	0	0	0	0	0
YDL015C	1	0	1	1	1	1	0	1	1	1	1	1
YDL216C	0	1	1	1	1	1	1	0	0	0	1	1
YGR210C	1	0	0	0	0	0	1	1	1	1	1	1
YKL085W	1	1	1	0	0	0	0	0	1	1	1	1
YOL058W	0	1	1	1	1	1	1	1	1	0	0	0
YJR010W	1	0	0	0	0	0	0	1	1	1	1	1
YDL047W	1	0	1	1	1	0	0	1	1	1	1	1
YJR121W	1	1	1	1	0	0	0	0	1	1	1	1
YOR021C	1	0	0	1	0	0	0	1	1	1	1	1
YPL105C	0	1	1	1	0	1	1	1	1	0	0	1
YPR045C	1	1	1	1	1	1	1	0	1	0	1	1
YDR404C	0	1	1	1	1	1	0	1	1	1	0	0
YER087W	1	1	0	0	0	0	0	0	1	1	1	1
YKR068C	1	0	1	0	1	1	0	1	1	1	1	1
YDR389W	1	1	1	0	0	0	0	0	0	0	1	1
YIL073C	1	1	1	1	1	1	1	0	0	1	0	0
TR(UCU)K	0	1	0	1	1	1	0	1	1	1	0	1
YOR090C	1	1	1	1	1	1	1	0	0	0	0	0
YOR172W	1	1	1	1	0	1	1	0	1	1	0	1
