YIL027C	YJL117W
YFR009W	YHL039W
YER133W	YGR103W
YJL101C	YML056C
YHR011W	YIL063C
YGR103W	YOR206W
YDR099W	YOR117W
YJL164C	YLR003C
YKL060C	YNL127W
YKR090W	YPL031C
YBR142W	YLR367W
YLL039C	YLR219W
YLL008W	YPL141C
YER120W	YOR117W
YDL047W	YFR019W
YFL039C	YLR337C
YKL104C	YLL039C
YML063W	YMR142C
YLR396C	YMR231W
YKL060C	YOR117W
YDR310C	YPR152C
YLL039C	YLR002C
YCR091W	YNL045W
YLL008W	YLR002C
YBR177C	YOL045W
YDR021W	YNL271C
YDR328C	YLR267W
YIR038C	YML012W
YBR157C	YGL075C
YJR097W	YNL092W
YML058W	YOR351C
YER006W	YKL014C
YLR009W	YMR290C
YGL012W	YLL039C
YBL003C	YKR092C
YFL009W	YOL133W
YDR063W	YFL039C
YBR020W	YPL248C
YAL001C	YDR381W
YHR096C	YLL028W
YBL047C	YJR134C
YFR052W	YOR362C
YJL154C	YOR272W
YDR016C	YLR117C
YAR018C	YOL054W
YMR227C	YPL248C
YGL141W	YJR059W
YCR004C	YMR086W
YLL028W	YOR254C
YJL092W	YKR027W
YGR196C	YIL131C
YBR283C	YKL065C
YDR069C	YMR304W
YDR490C	YKL126W
YGL206C	YGR241C
YBR217W	YHR033W
YIL043C	YLR350W
YDR381W	YKR086W
YHL048W	YHR142W
YJR066W	YMR011W
YKL064W	YPL031C
YDR479C	YLR324W
YJL081C	YLR085C
YKL064W	YNL307C
YBR217W	YKL145W
YBR136W	YIR009W
YOR054C	YPL031C
YGL087C	YOL081W
YGL181W	YHR161C
YLL039C	YOL133W
YGL120C	YGL130W
YGR020C	YGR037C
YGL207W	YOR052C
YDR011W	YPR156C
YIL126W	YOR290C
YJL020C	YJR115W
YFL039C	YOR117W
YBL042C	YDL222C
YDR190C	YLL039C
YHR006W	YLL039C
YIL121W	YLL028W
YER032W	YHR114W
YFL002C	YMR290C
YDR473C	YPL004C
YBL103C	YJR066W
YFR052W	YGL048C
YLL039C	YML130C
YCR084C	YNL025C
YJL138C	YOL013C
YBR017C	YDL014W
YOR206W	YOR267C
YLL006W	YNL070W
YGL213C	YGR008C
YGR167W	YLR330W
YGL207W	YJR089W
YDR229W	YPR152C
YOL038W	YPR108W
YDR045C	YDR328C
YDR054C	YIL046W
YNL178W	YOR117W
YBL097W	YHL002W
YOR007C	YOR164C
YLL039C	YMR261C
YGL116W	YNL024C
YLR093C	YPL031C
YDR100W	YFR024C-A
YIL016W	YPL264C
YCR106W	YPL034W
YDR520C	YJL110C
YBL023C	YGL201C
YBR017C	YBR247C
YFR024C-A	YJL004C
YDL021W	YKL214C
YER166W	YOR104W
YGR060W	YML055W
YIL171W	YJR117W
YNL061W	YPL217C
